user_id,cap,content_score,friend_score,network_score,sentiment_score,english_score,universal_score
282695161,0.003940623559956331,1.1,0.9,0.6,0.2,0.10030935716061677,0.08899515596679244
1296875341,0.06747906081432216,2.5,1.5,1.5,2.1,0.1807672693005155,0.4336774335329319
2983991113,0.09360841931572118,0.7,1.8,0.9,2.1,0.3039573320934062,0.49505756400804624
4639100177,0.09360841931572118,3.4,1.6,3.3,3.0,0.42151725890598224,0.49505756400804624
2773494490,0.0027296301902785666,0.4,0.8,0.4,0.3,0.03546593341354506,0.06078011352084069
384611494,0.06055916271173367,2.7,2.7,3.2,1.1,0.19374947883382485,0.413569897933165
73208930,0.038677030425236264,1.7,1.0,2.7,1.0,0.22180647190550215,0.33655519548719853
55100779,0.13065598435976788,3.7,2.5,4.4,2.9,0.6506901031179089,0.5565870373496533
770037428795084802,0.47530138941405353,3.7,2.3,1.9,3.9,0.8005982245473489,0.7990584410047699
4656088998,0.13065598435976788,1.7,1.2,1.0,2.5,0.5697317833219949,0.5565870373496533
7.952013327307039e+17,,,,,,,
7.689695893802885e+17,,,,,,,
7.526672683208663e+17,,,,,,,
454331982.0,,,,,,,
476049400,0.003116817556886547,0.5,0.7,1.2,0.6,0.038503444945083086,0.07089257330076087
7.78558082301526e+17,,,,,,,
14791358.0,,,,,,,
25179492,0.004725361816828223,0.3,1.6,0.9,0.5,0.05333128056896264,0.10328573467123618
7.815318929527562e+17,,,,,,,
768600209056145409,0.006431292840898396,0.8,1.1,1.2,3.3,0.12588928944948308,0.1285158337598371
7.878421621551391e+17,,,,,,,
27534951.0,,,,,,,
459561926,0.003626193494014071,1.1,0.8,1.8,0.9,0.07945465272791494,0.0825396626774012
2196212185.0,,,,,,,
583824032.0,,,,,,,
580235440.0,,,,,,,
637096765,0.003940623559956331,0.7,1.2,2.1,0.4,0.06783456974919343,0.08899515596679244
44631291.0,,,,,,,
703789363763793920,0.0043042404804791,0.9,1.0,1.3,0.6,0.14589765727494236,0.09590276214117437
2831997741,0.023811568542435598,0.8,1.2,0.9,1.0,0.10030935716061677,0.26734400306340506
27087581,0.04861529098537897,1.3,1.4,1.2,0.6,0.1167953743919475,0.3742667881821624
63829580,0.0043042404804791,0.6,1.7,1.9,1.5,0.07343326191269153,0.09590276214117437
759980404015140864,0.003116817556886547,1.4,1.9,0.8,0.6,0.07343326191269153,0.07089257330076087
1087699130,0.1998825988113924,4.1,2.7,2.6,2.9,0.6698271269837389,0.635706839522915
